_id,datetime,open,high,low,close
,2024-01-01 12:19:00,1100.95,1101.25,1100.35,1100.95
,2024-01-01 12:38:00,1100.45,1100.65,1100.0,1100.0
,2024-01-01 12:46:00,1100.0,1100.85,1099.95,1100.35
,2024-01-01 13:56:00,1099.15,1099.75,1099.0,1099.75
,2024-01-01 14:12:00,1100.2,1100.65,1100.05,1100.25
,2024-01-01 15:23:00,1095.05,1095.1,1095.0,1095.0
,2024-01-01 15:29:00,1095.5,1096.0,1093.0,1095.0
,2024-01-01 10:26:00,1100.9,1100.9,1100.25,1100.35
,2024-01-01 10:50:00,1102.0,1102.2,1101.45,1101.45
,2024-01-01 10:51:00,1101.7,1102.35,1101.7,1102.05
,2024-01-01 11:28:00,1102.45,1103.35,1102.2,1103.2
,2024-01-01 11:33:00,1102.6,1103.0,1102.45,1102.5
,2024-01-01 11:34:00,1102.5,1102.9,1102.45,1102.9
,2024-01-01 12:01:00,1102.0,1102.1,1102.0,1102.0
,2024-01-01 12:21:00,1101.1,1101.15,1100.7,1100.85
,2024-01-01 13:22:00,1099.9,1100.0,1099.3,1099.55
,2024-01-01 13:25:00,1100.0,1100.0,1099.5,1099.9
,2024-01-01 13:36:00,1099.75,1100.0,1099.45,1099.9
,2024-01-01 15:24:00,1095.05,1095.5,1095.0,1095.05
,2024-01-01 10:23:00,1100.9,1100.95,1100.55,1100.65
,2024-01-01 11:07:00,1102.55,1103.0,1102.35,1102.9
,2024-01-01 12:40:00,1100.1,1100.2,1100.0,1100.05
,2024-01-01 13:24:00,1099.8,1100.0,1099.4,1099.95
,2024-01-01 13:32:00,1099.4,1100.0,1099.4,1099.5
,2024-01-01 13:34:00,1099.6,1099.95,1099.45,1099.7
,2024-01-01 13:35:00,1099.95,1100.0,1099.6,1099.75
,2024-01-01 13:51:00,1099.35,1099.65,1099.0,1099.25
,2024-01-01 14:37:00,1100.2,1100.75,1100.1,1100.55
,2024-01-01 14:43:00,1101.0,1101.4,1100.55,1101.05
,2024-01-01 15:01:00,1100.85,1101.2,1096.15,1098.85
,2024-01-01 15:04:00,1099.75,1100.0,1099.25,1099.55
,2024-01-01 15:05:00,1099.85,1100.0,1098.65,1099.6
,2024-01-01 09:19:00,1096.05,1096.4,1095.1,1096.0
,2024-01-01 09:41:00,1099.5,1100.3,1099.4,1099.6
,2024-01-01 10:42:00,1103.0,1103.45,1103.0,1103.3
,2024-01-01 10:56:00,1101.95,1102.1,1101.5,1102.05
,2024-01-01 12:24:00,1101.2,1101.5,1100.9,1100.95
,2024-01-01 13:01:00,1100.05,1100.4,1099.75,1100.4
,2024-01-01 13:10:00,1099.9,1100.0,1099.3,1099.95
,2024-01-01 13:31:00,1099.7,1100.0,1099.4,1099.45
,2024-01-01 13:37:00,1100.0,1100.0,1099.6,1099.9
,2024-01-01 14:17:00,1100.6,1100.85,1100.2,1100.8
,2024-01-01 14:25:00,1102.3,1102.5,1101.8,1102.15
,2024-01-01 14:32:00,1100.2,1100.95,1100.05,1100.8
,2024-01-01 14:41:00,1100.15,1100.5,1099.5,1100.45
,2024-01-01 14:42:00,1100.45,1101.0,1100.05,1101.0
